Device Name,Power Rating (W),Total Runtime (hrs),Energy Consumed (kWh),Cost per kWh (INR),Total Cost (INR)
Server Rack 2,170,115,19.549999999999997,15.4,301.06999999999994
Server Rack 1,160,120,19.199999999999996,15.4,295.67999999999995
Workstation 1,250,40,10.0,15.4,154.01
Server Rack 3,216,100,21.6,15.4,332.64000000000004
Refrigerator,70,168,11.76,17.11,201.21359999999999
Workstation 4,250,36,9.0,15.4,138.61
Workstation 5,250,45,11.25,15.4,173.69
Air Conditioner 1,1500,50,75.0,18.82,1411.74
Lights,52,168,8.735999999999997,13.69,119.59583999999995
Coffee Machine,242,30,7.259999999999999,17.11,124.21859999999998
Electric Kettle,300,10,2.9999999999999996,17.11,51.32999999999999
Microwave,216,15,3.240000000000001,17.11,55.43640000000002
Vacuum Cleaner,128,20,2.559999999999999,15.4,39.423999999999985
Smart TV,36,40,1.4400000000000002,15.4,22.176000000000002
Projector,42,20,0.8400000000000001,15.4,12.936000000000002
Coffee Machine,1100,30,33.0,17.11,564.7
Microwave,1200,15,18.0,17.11,308.02
Refrigerator,500,168,84.0,17.11,1437.41
Server Rack 3,900,100,90.0,15.4,1386.07
Workstation 6,300,50,15.0,15.4,231.01
Workstation 7,300,55,16.5,15.4,254.11
Air Conditioner 4,1500,60,90.0,18.82,1694.09
Air Conditioner 5,1500,40,60.0,18.82,1129.39
Projector,300,20,6.0,15.4,92.4
Electric Kettle,1500,10,25.0,17.11,427.8
Dishwasher,1200,30,36.0,17.11,616.03
Vacuum Cleaner,800,20,16.0,15.4,246.41
Smart TV,200,40,8.0,15.4,123.21
