Device Name,Power Rating (W),Total Runtime (hrs),Energy Consumed (kWh),Cost per kWh (INR),Total Cost (INR),Name,value,url,rating
Lights,51.99999999999998,168,8.735999999999997,13.69,119.59583999999995,"One94Store Smart Night Sensor Light Bulb Comes with Automatic ON/Off Dim LED | Energy-Efficient Night Sensor Light Bulb |Daily use for Home Stairs, Kitchen, Bathroom, Walldrobe (Warm White)-Pack of 1",199.0,https://www.amazon.in/One94Store-Bulb-Automatic-Energy-Efficient-Walldrobe/dp/B0D326MFH4/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Zvmyg7COU3H5C57vBeH9RXgPNmDWIUdd34uhTEkg0fhwdlAnP-iHElRq98ExIdBqy8CJ_jY-b5Nnp4aIf5Kdf-o5q0vqDbJK1Wlz5H2CAhq_IKt9JbuJaR1tukJomrmdWavZwRFyJzxtGYkB93K9DGmsWb_yj9SEOTciplyml2LnqrYOJ1HNRibZbqdEMHy7dpQdU4tCRmYvyMQ35nHiuZI2NEMIdGJEDDifsThEfdG_bxsBIPmv7SGJZ5mRFQs0_B94oy2TWqSkDdyoS3b29v4B5pVwrz1VEeTMAzL7t4k.x2khsd3T-rtbhfgyvGpg6_Req7B4cx1M3s0ShdNiEO0&dib_tag=se&keywords=Lights+energy+efficient&qid=1744141033&sr=8-2,3.7
Coffee Machine,241.99999999999997,30,7.259999999999999,17.11,124.21859999999998,"AGARO Classic Moka Pot, Stovetop, Espresso Coffee Maker, 240 Ml, Premium Aluminium Built, Italian Style Mocha, Cuban Café Brewing, Black",799.0,https://www.amazon.in/AGARO-Classic-Stovetop-Espresso-Aluminium/dp/B0BGZXCR4B/ref=sr_1_2?dib=eyJ2IjoiMSJ9.yfKikC97x2Z4dvmzwNbnlmAEqWaCy1dDdFt59rk_aq067_MYxjWIn6W_gM6UlzHLJ30K2qacWfm4l8UNJBDcpMQKffRLdcxYA0XeALH4r_zst1dUG9_2DSFHHbTljpVWEKKJKZT3gfe8EF0JJE7v2rfp9NTq1Ssrf9k9mNlVQWL4YA8bTuBfE9XcQO_A82FwbQF6I5XsVjVdiALSko9z9YRAfzjLfprFR8G0VjEm1NE.OKZ2_5C0LOH3NoDouMYl1i926DD9jrVuzB2redA7LSc&dib_tag=se&keywords=Coffee+Machine+energy+efficient&qid=1744141036&sr=8-2,3.9
Electric Kettle,299.99999999999994,10,2.9999999999999996,17.11,51.32999999999999,"MILTON Stainless Steel Euroline Electric Travel Kettle With Handle, 1000 Watt, 500 Ml | 2 Utility Cups | Auto Shut-Off | Concealed Heating Element | Power Indicator |1Year Warranty, Silver",1193.0,https://www.amazon.in/MILTON-Stainless-Euroline-Electric-Utility/dp/B0CK5JZ1TG/ref=sr_1_2?dib=eyJ2IjoiMSJ9.zmCFpDqdK2-iTBmjnyXOyCY07kUW4k_ffT9w19mgaGmEW_ppzBpJ2S5EGgGMtUysu78ZzVuDNNKJLb6C8Suzq0D0tPWCAoaSrQV9xXPxuXtrxhPF9omzt0hJl9ctQCvNeErP6clmUv0iLXobEFA2o8kLERB2qq188fjYQ4QyPMjuvpu31k1b6ygWDiFvP6vWMhazXvnqNafY-CD1jovIOw_Mc12LHU0DFPusIynElB0.eK22DQU953PfuvIFeV-301fv49QQOxTVcZ12Oy77vBY&dib_tag=se&keywords=Electric+Kettle+energy+efficient&qid=1744141038&sr=8-2,4.0
Server Rack 1,159.99999999999997,120,19.199999999999996,15.4,295.67999999999995,Plantex CCTV/DVR Cabinet Box/Network Rack/NVR - Server Rack/CCTV Camera Box with Lock/dvr Box for CCTV - (30D x 30W x 15H) - 1U - Transparent Glass Door Cabinet - (Metal),1449.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07KWR3DHG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-1,4.0
Server Rack 2,169.99999999999997,115,19.549999999999997,15.4,301.06999999999994,"Plantex CCTV/DVR Rack/NVR Cabinet Box/Network Rack/Server Rack/CCTV Camera Box with KeyLock/DVR Box for cctvwith Power Socket - 3U - (Off White & Gray), Metal Transparent Glass Door Cabinet Box",1949.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07D16LKJL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-2,4.0
Vacuum Cleaner,127.99999999999994,20,2.559999999999999,15.4,39.423999999999985,"Eureka Forbes Compact 700 Watts Powerful Suction & Blower Vacuum Cleaner with Washable HEPA Filter & 6 Accessories,Compact,1 Year Warranty,Light Weight & Easy to use (Red & Black)",3099.0,https://www.amazon.in/Eureka-Forbes-Compact-Cleaner-Washable/dp/B08H29H34F/ref=sr_1_2?dib=eyJ2IjoiMSJ9.uEW3fqSJW7charwzlkTYNnDTxhEbIovEf8zLQMowBWLSgsIzXurtCjTCc_ZpQu4UeuK9utdjBLBD0FraFDsem25N-SbAjLOrtLD2-9zceTQy1cpHjszBdFOxFtblSs2HifbOaYKqVGLb_JuTeRdNLSHn8vRsR1Gq3Sj55n0jfsfXF72jRjcbRGOBWEv_xuSZyW5TMdCgXzPpWUfLJe-kSxscD8Y1qEIJKciTV9PuykE.hzchZ3ReYloRQazfXATn_W1_JFq9GKj53mPiiRcPtaI&dib_tag=se&keywords=Vacuum+Cleaner+energy+efficient&qid=1744141048&sr=8-2,4.2
Server Rack 3,216.0,100,21.6,15.4,332.64000000000004,"Crotomak 6U DVR, CCTV, NVR, Server, Network Rack with 4 Power Socket and AC Axial Cooling Fan -Transparent Glass Door, Metal Cabinet Box Wall mount (Size 6: 45 X 55 X 35 cm)",3999.0,https://www.amazon.in/Crotomak%C2%AE-6U-Rack-Network-Transparent/dp/B07WN9DVFH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-3,3.8
Projector,42.00000000000001,20,0.8400000000000001,15.4,12.936000000000002,"WZATCO Yuva Go Pro Native 1080P Android 13.0 Smart Projector, Auto Keystone, 4X Brighter, 4K HDR Support, Rotatable Design with Netflix, Prime etc, WiFi 6 & BT, Screen Mirroring, ARC, White",10990.0,https://www.amazon.in/WZATCO-Yuva-Go-Pro-Projector/dp/B0DF2P21Y5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.2lAqe0asQ5iASDEyNgqfEza3xTMQh6QaNxb2JRkwUx-sdx__8WwcoTNpbuG_je6ZGUm8UZCwXYHQS-8U8Zpr_8uFiFRPF3pzg5mu23raS7YILE_wBn8CyyNBvEGvmBmZDF00tIFY9Fp_Y5kYA5QARFdJhgVjWJfMcgpGIGwMbxJm_C_EO5bT6GTQp6iazO4fdqGvVRXa97IsKZjRMDx79T7Rl93Uf_55Y1kNtERuLF4.JLfc34QlmYYSy5hxgFwkg4ajeGtXRX-xG5FuSg_h3N8&dib_tag=se&keywords=Projector+energy+efficient&qid=1744141059&sr=8-3,4.3
Microwave,216.00000000000006,15,3.240000000000001,17.11,55.43640000000002,"Samsung 28L, Convection Microwave Oven with Curd Making(MC28A5013AK/TL, Black, 10 Yr warranty)",12790.0,https://www.amazon.in/Samsung-Convection-Microwave-MC28A5013AK-TL/dp/B09XBMXQ34/ref=sr_1_2?dib=eyJ2IjoiMSJ9.niKSwq_e63eBZRx1ajYeS2tmbv0gDNYjDKXEwnLOQ1IAh7ntSN1PQpYLgE21_4EyNr0Z8es4Z2q7Tc4iJmdcfhbAq4w5RUbDP_3nC1CzhkZo2JphrDESp8Vhx_LTS02ylhznV7cZUVDkXXBG-JkxtKTz5gU0T1zRuX9aNZroqJne8yI8o4AXnM-aCisjg9RF3HahBUjT3Qt6Yjx6jb5_5gzB50jgaK2FTql9ouG8QWvjHzhxzSRT9SdJI_dnC33ZwNWqcxf7rF7Rw4icz6n3HgN5O-EiblpPC5NRpXrGbS4.hMhmXq8Ni7EVC3r68-s13aDFVdqGjkBQoivn8diVOHo&dib_tag=se&keywords=Microwave+energy+efficient&qid=1744141042&sr=8-2,4.1
Smart TV,36.00000000000001,40,1.4400000000000002,15.4,22.176000000000002,Samsung 80 cm (32 inches) HD Ready Smart LED TV UA32T4380AKXXL (Glossy Black),14990.0,https://www.amazon.in/Samsung-inches-Ready-UA32T4380AKXXL-Glossy/dp/B0B8YTGC23/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Plzxr4Ip68fLl1AwpKjKO4eO1DcqHxkmWgNUrtKJvkpORtmhuW4nOor0PrRlqAh2BzhYlpX_7bAWkqvNHq-hdqfFF-Lxf_S1O7CgzYJ_8_bQHLPbz8mAZrXKVeEpWBqjAx1JY0Bd0z8roNIzQLPlIPgrZFeOZLdpT2HXduHTtHaKmVzmKU5NkmoemkOT2QlNiG1BuntfMagJshHV7vSihGm-_HQIgvqMEQoLT7en9oY.tgd9Yw16Oszxky0T9LEA8b9ZP0HqODr6JJJzbp40eT4&dib_tag=se&keywords=Smart+TV+energy+efficient&qid=1744141055&sr=8-1,4.1
