Device Name,Power Rating (W),Total Runtime (hrs),Energy Consumed (kWh),Cost per kWh (INR),Total Cost (INR),mapIndex
Server Rack 2,850,115,97.75,15.40,1505.86,1
Server Rack 1,800,120,96.00,15.40,1478.48,0
Air Conditioner 4,1500,60,90.00,18.82,1694.09,4
Server Rack 3,900,100,90.00,15.40,1386.07,2
Refrigerator,500,168,84.00,17.11,1437.41,7
Air Conditioner 2,1500,55,82.50,18.82,1552.91,5
Air Conditioner 1,1500,50,75.00,18.82,1411.74,3
Air Conditioner 3,1500,48,72.00,18.82,1355.27,-1
Air Conditioner 5,1500,40,60.00,18.82,1129.39,-1
Dishwasher,1200,30,36.00,17.11,616.03,10
Lights,200,168,33.60,13.69,460.31,13
Coffee Machine,1100,30,33.00,17.11,564.70,16
Electric Kettle,1500,10,25.00,17.11,427.80,18
Microwave,1200,15,18.00,17.11,308.02,20
Workstation 7,300,55,16.50,15.40,254.11,-1
Vacuum Cleaner,800,20,16.00,15.40,246.41,25
Workstation 6,300,50,15.00,15.40,231.01,-1
Workstation 5,250,45,11.25,15.40,173.69,-1
Workstation 3,250,42,10.50,15.40,161.71,-1
Router 2,60,168,10.08,13.69,137.75,-1
Workstation 1,250,40,10.00,15.40,154.01,-1
Workstation 2,250,38,9.50,15.40,146.31,-1
Workstation 4,250,36,9.00,15.40,138.61,-1
Router 1,50,168,8.40,13.69,114.65,-1
Smart TV,200,40,8.00,15.40,123.21,29
Projector,300,20,6.00,15.40,92.40,34
Printer 2,120,25,3.00,15.40,46.20,-1
Printer 1,100,20,2.00,15.40,30.80,-1
